time,ax,ay,az,atotal
0.000,-0.21,-0.05,0.40,0.45
0.010,-0.08,-0.09,0.13,0.18
0.020,-0.00,-0.08,-0.12,0.14
0.030,-0.04,-0.00,-0.29,0.29
0.040,-0.04,0.06,-0.30,0.31
0.050,-0.01,0.11,-0.28,0.31
0.060,0.02,0.09,-0.20,0.22
0.070,0.03,0.09,-0.04,0.11
0.080,0.03,0.15,0.15,0.22
0.090,-0.07,0.16,0.22,0.28
0.100,-0.12,0.16,0.18,0.27
0.109,-0.11,0.17,0.08,0.22
0.120,-0.11,0.05,-0.02,0.12
0.129,0.00,-0.01,-0.10,0.10
0.139,0.13,0.01,-0.16,0.21
0.149,0.20,0.03,-0.27,0.34
0.159,0.24,0.02,-0.35,0.42
0.169,0.19,-0.01,-0.38,0.43
0.179,0.14,0.03,-0.23,0.27
0.189,0.13,0.07,0.05,0.15
0.199,0.03,0.08,0.20,0.22
0.209,0.00,0.03,0.19,0.19
0.219,-0.01,0.00,0.05,0.05
0.229,-0.05,-0.03,-0.09,0.10
0.239,0.01,0.00,-0.18,0.18
0.249,0.07,0.03,-0.32,0.33
0.259,0.15,-0.02,-0.32,0.35
0.269,0.19,-0.03,-0.21,0.28
0.279,0.13,-0.04,-0.06,0.15
0.289,0.02,-0.05,0.06,0.08
0.299,-0.04,-0.07,0.17,0.19
0.309,-0.07,-0.05,0.21,0.23
0.319,-0.05,-0.03,0.21,0.21
0.329,-0.06,-0.03,0.15,0.16
0.339,-0.01,-0.06,0.09,0.11
0.349,-0.01,-0.02,0.03,0.04
0.358,-0.08,0.04,-0.11,0.14
0.369,-0.09,0.10,-0.21,0.25
0.378,-0.05,0.11,-0.24,0.27
0.389,-0.05,0.12,-0.28,0.30
0.399,-0.03,0.05,-0.32,0.32
0.408,-0.04,0.00,-0.30,0.30
0.418,-0.07,0.01,-0.28,0.29
0.428,-0.05,0.02,-0.22,0.23
0.438,-0.01,-0.01,-0.10,0.10
0.448,-0.00,-0.01,0.04,0.04
0.458,-0.03,-0.05,0.12,0.13
0.468,-0.06,-0.06,0.13,0.15
0.478,-0.06,-0.03,0.12,0.14
0.488,-0.03,-0.03,0.09,0.10
0.498,0.02,-0.03,0.08,0.09
0.508,0.06,-0.01,0.12,0.14
0.518,0.10,0.02,0.22,0.24
0.528,-0.00,0.04,0.18,0.18
0.538,-0.05,0.04,0.09,0.11
0.548,-0.04,0.09,-0.03,0.10
0.558,0.09,0.10,-0.12,0.18
0.568,0.13,0.01,-0.18,0.22
0.578,0.03,-0.03,-0.07,0.09
